code,name,bb_period,bb_dev,stop_loss,total_return,annualized_return,sharpe,max_drawdown,total_trades,win_rate,final_cash
600886,国投电力,15,1.8,0.15,1.0311,2.56,0.15,51.64,129,0.6589,203106.63
600886,国投电力,15,1.8,0.2,1.2143000000000002,2.87,0.16,49.72,124,0.6694,221432.34
600886,国投电力,15,1.8,0.25,1.0476,2.59,0.15,49.88,121,0.6777,204762.96
600886,国投电力,15,2.0,0.15,1.3359999999999999,3.07,0.18,44.16,105,0.6570999999999999,233602.3
600886,国投电力,15,2.0,0.2,1.1368,2.74,0.16,48.41,98,0.6531,213677.19
600886,国投电力,15,2.0,0.25,1.2028,2.85,0.17,38.93,97,0.6701,220282.38
600886,国投电力,15,2.2,0.15,0.3953,1.19,0.07,42.15,77,0.6103999999999999,139528.82
600886,国投电力,15,2.2,0.2,0.3859,1.17,0.07,48.11,72,0.6111,138588.61
600886,国投电力,15,2.2,0.25,0.4177,1.25,0.07,44.49,71,0.6197,141769.6
600886,国投电力,20,1.8,0.15,2.5639999999999996,4.63,0.25,44.25,113,0.6814,356395.26
600886,国投电力,20,1.8,0.2,3.6887,5.66,0.3,44.44,106,0.7075,468868.03
600886,国投电力,20,1.8,0.25,4.4251,6.21,0.33,40.42,104,0.7212000000000001,542512.95
600886,国投电力,20,2.0,0.15,3.9824,5.89,0.35,37.0,90,0.6778,498241.85
600886,国投电力,20,2.0,0.2,4.5939,6.32,0.37,42.93,84,0.6905,559386.5
600886,国投电力,20,2.0,0.25,3.5424,5.54,0.32,42.73,81,0.6914,454235.27
600886,国投电力,20,2.2,0.15,0.203,0.66,0.04,62.42,65,0.6,120298.49
600886,国投电力,20,2.2,0.2,0.3911,1.18,0.08,66.19,61,0.6393,139108.63
600886,国投电力,20,2.2,0.25,-0.0582,-0.21,-0.01,75.19,58,0.6379,94176.19
600886,国投电力,25,1.8,0.15,3.0418000000000003,5.1,0.26,45.99,93,0.6989,404184.77
600886,国投电力,25,1.8,0.2,3.4682999999999997,5.48,0.28,56.15,86,0.7093,446826.08
600886,国投电力,25,1.8,0.25,2.9549000000000003,5.02,0.26,59.33,86,0.7093,395485.53
600886,国投电力,25,2.0,0.15,1.5006,3.32,0.19,52.04,74,0.6486,250060.07
600886,国投电力,25,2.0,0.2,1.7679,3.69,0.21,55.37,69,0.6957,276785.23
600886,国投电力,25,2.0,0.25,1.7597999999999998,3.68,0.21,57.03,67,0.6866,275976.95
600886,国投电力,25,2.2,0.15,1.4163999999999999,3.19,0.18,49.46,61,0.6393,241641.51
600886,国投电力,25,2.2,0.2,1.2438,2.92,0.17,58.38,59,0.6779999999999999,224376.66
600886,国投电力,25,2.2,0.25,1.1377,2.74,0.16,62.5,55,0.6909000000000001,213769.22
